year,month,value
1983,2,27.19
1983,3,32.76
1983,4,35.8
1983,5,45.34
1983,6,54.52
1983,7,60.98
1983,8,62.11
1983,9,52.45
1983,10,43.29
1983,11,33.28
1983,12,16.52
1984,1,18.72
1984,2,25.93
1984,3,29.17
1984,4,37.96
1984,5,47.17
1984,6,56.07
1984,7,60.22
1984,8,60.39
1984,9,50.23
1984,10,42.98
1984,11,30.83
1984,12,24.64
1985,1,16.2
1985,2,20.03
1985,3,32.04
1985,4,41.27
1985,5,48.96
1985,6,54.91
1985,7,60.75
1985,8,58.19
1985,9,50.94
1985,10,42.84
1985,11,30.22
1985,12,18.16
1986,1,23.32
1986,2,25.75
1986,3,33.78
1986,4,40.28
1986,5,48.43
1986,6,57.63
1986,7,60.91
1986,8,58.84
1986,9,52.79
1986,10,42.42
1986,11,31.44
1986,12,25.14
1987,1,21.38
1987,2,27.16
1987,3,31.24
1987,4,39.36
1987,5,50.52
1987,6,57.2
1987,7,60.67
1987,8,59.13
1987,9,51.76
1987,10,39.0
1987,11,33.13
1987,12,25.2
1988,1,17.46
1988,2,21.74
1988,3,29.89
1988,4,38.34
1988,5,47.48
1988,6,56.68
1988,7,61.36
1988,8,60.46
1988,9,51.58
1988,10,40.89
1988,11,32.52
1988,12,22.41
1989,1,23.04
1989,2,18.81
1989,3,30.9
1989,4,39.81
1989,5,47.73
1989,6,55.63
1989,7,61.41
1989,8,58.98
1989,9,51.19
1989,10,41.16
1989,11,31.03
1989,12,16.57
1990,1,25.83
1990,2,25.25
1990,3,33.37
1990,4,40.01
1990,5,46.81
1990,6,57.2
1990,7,60.76
1990,8,59.61
1990,9,54.32
1990,10,40.71
1990,11,32.97
1990,12,19.81
1991,1,19.74
1991,2,28.0
1991,3,31.93
1991,4,40.66
1991,5,50.38
1991,6,56.82
1991,7,61.12
1991,8,60.24
1991,9,52.23
1991,10,41.4
1991,11,29.39
1991,12,26.1
1992,1,23.74
1992,2,29.34
1992,3,33.04
1992,4,40.08
1992,5,48.02
1992,6,55.06
1992,7,59.38
1992,8,57.33
1992,9,51.78
1992,10,41.45
1992,11,30.92
1992,12,22.6
1993,1,21.34
1993,2,20.97
1993,3,31.01
1993,4,37.96
1993,5,48.38
1993,6,55.13
1993,7,60.26
1993,8,59.54
1993,9,50.25
1993,10,40.59
1993,11,28.13
1993,12,24.37
1994,1,18.9
1994,2,20.7
1994,3,32.2
1994,4,39.72
1994,5,47.84
1994,6,57.96
1994,7,60.73
1994,8,59.18
1994,9,52.39
1994,10,42.51
1994,11,32.25
1994,12,26.76
1995,1,23.99
1995,2,25.93
1995,3,32.27
1995,4,37.31
