year,month,value
1977,10,53.98
1977,11,42.85
1977,12,33.28
1978,1,25.86
1978,2,27.99
1978,3,41.29
1978,4,51.58
1978,5,59.72
1978,6,68.92
1978,7,73.78
1978,8,71.78
1978,9,65.82
1978,10,54.39
1978,11,41.47
1978,12,29.82
1979,1,21.92
1979,2,28.13
1979,3,42.06
1979,4,50.14
1979,5,59.13
1979,6,67.8
1979,7,73.11
1979,8,70.95
1979,9,66.07
1979,10,55.26
1979,11,39.92
1979,12,36.03
1980,1,31.12
1980,2,32.85
1980,3,39.36
1980,4,51.42
1980,5,60.26
1980,6,68.72
1980,7,75.72
1980,8,72.77
1980,9,66.22
1980,10,52.59
1980,11,42.31
1980,12,35.19
1981,1,32.41
1981,2,36.57
1981,3,42.85
1981,4,55.11
1981,5,58.95
1981,6,69.8
1981,7,73.92
1981,8,72.09
1981,9,64.9
1981,10,52.3
1981,11,44.73
1981,12,33.66
1982,1,26.22
1982,2,32.59
1982,3,42.01
1982,4,48.61
1982,5,60.78
1982,6,66.31
1982,7,73.18
1982,8,72.05
1982,9,64.02
1982,10,53.24
1982,11,41.13
1982,12,35.82
1983,1,33.12
1983,2,36.86
1983,3,42.39
1983,4,46.99
1983,5,57.94
1983,6,67.06
1983,7,73.96
1983,8,75.04
1983,9,65.57
1983,10,54.99
1983,11,43.02
1983,12,25.48
1984,1,28.83
1984,2,37.38
1984,3,40.08
1984,4,49.59
1984,5,60.06
1984,6,68.59
1984,7,73.15
1984,8,73.11
1984,9,63.12
1984,10,53.6
1984,11,41.54
1984,12,34.54
1985,1,26.31
1985,2,30.87
1985,3,43.48
1985,4,54.34
1985,5,62.06
1985,6,68.09
1985,7,74.03
1985,8,71.01
1985,9,62.71
1985,10,54.28
1985,11,39.51
1985,12,28.81
1986,1,34.68
1986,2,35.85
1986,3,46.18
1986,4,52.86
1986,5,61.07
1986,6,70.39
1986,7,73.49
1986,8,71.69
1986,9,63.68
1986,10,54.0
1986,11,41.4
1986,12,34.43
1987,1,31.44
1987,2,37.38
1987,3,42.55
1987,4,53.51
1987,5,62.94
1987,6,70.23
1987,7,73.24
1987,8,71.85
1987,9,65.23
1987,10,52.95
1987,11,43.97
1987,12,34.54
1988,1,27.79
1988,2,33.69
1988,3,42.4
1988,4,51.8
1988,5,61.2
1988,6,70.84
1988,7,74.77
1988,8,73.65
1988,9,64.58
1988,10,53.94
1988,11,43.29
1988,12,33.46
1989,1,34.09
1989,2,29.17
1989,3,42.67
1989,4,52.86
1989,5,60.44
1989,6,68.11
1989,7,74.19
1989,8,71.29
1989,9,64.06
1989,10,54.34
1989,11,42.91
1989,12,27.73
1990,1,36.48
1990,2,36.7
1990,3,44.74
1990,4,52.5
1990,5,58.86
1990,6,70.21
1990,7,73.24
1990,8,72.25
1990,9,67.33
1990,10,53.96
1990,11,44.92
1990,12,30.83
1991,1,29.5
1991,2,39.81
1991,3,43.32
1991,4,52.52
1991,5,61.95
1991,6,69.04
1991,7,73.87
1991,8,72.97
1991,9,64.89
1991,10,54.73
1991,11,39.43
1991,12,35.73
1992,1,33.62
1992,2,39.69
1992,3,44.69
1992,4,52.52
1992,5,61.14
1992,6,67.41
1992,7,71.2
1992,8,69.82
