year,month,fahrenheit
1991,5,73.53
1991,6,81.27
1991,7,86.59
1991,8,85.68
1991,9,77.54
1991,10,68.07
1991,11,49.46
1991,12,45.36
1992,1,43.52
1992,2,50.05
1992,3,56.34
1992,4,64.94
1992,5,74.26
1992,6,79.75
1992,7,82.99
1992,8,82.31
1992,9,77.5
1992,10,67.59
1992,11,49.19
1992,12,40.87
1993,1,39.61
1993,2,41.31
1993,3,52.56
1993,4,61.83
1993,5,73.36
1993,6,79.23
1993,7,83.98
1993,8,84.2
1993,9,76.3
1993,10,65.32
1993,11,50.29
1993,12,44.01
1994,1,39.78
1994,2,43.05
1994,3,56.8
1994,4,65.59
1994,5,73.47
1994,6,83.89
1994,7,86.43
1994,8,85.19
1994,9,78.66
1994,10,65.88
1994,11,52.84
1994,12,45.7
1995,1,42.15
1995,2,48.78
1995,3,54.41
1995,4,61.48
1995,5,70.05
1995,6,79.83
1995,7,86.41
1995,8,87.1
1995,9,77.52
1995,10,67.46
1995,11,53.44
1995,12,43.27
1996,1,40.78
1996,2,47.16
1996,3,51.1
1996,4,63.7
1996,5,72.93
1996,6,82.62
1996,7,86.25
1996,8,85.19
1996,9,75.4
1996,10,66.06
1996,11,49.51
1996,12,43.68
1997,1,39.81
1997,2,46.06
1997,3,57.07
1997,4,59.85
1997,5,72.27
1997,6,80.4
1997,7,85.8
1997,8,84.11
1997,9,78.91
1997,10,66.22
1997,11,50.83
1997,12,43.03
1998,1,44.31
1998,2,47.82
1998,3,51.82
1998,4,63.45
1998,5,75.11
1998,6,80.31
1998,7,88.03
1998,8,86.94
1998,9,81.91
1998,10,66.9
1998,11,54.73
1998,12,45.99
1999,1,44.44
1999,2,50.76
1999,3,54.73
1999,4,63.41
1999,5,72.7
1999,6,80.35
1999,7,86.83
1999,8,85.89
1999,9,77.92
1999,10,68.86
1999,11,61.16
1999,12,47.1
2000,1,44.2
2000,2,51.19
2000,3,58.08
2000,4,65.75
2000,5,75.97
2000,6,81.55
2000,7,86.88
2000,8,87.3
2000,9,79.05
2000,10,67.14
2000,11,47.88
2000,12,38.52
2001,1,41.41
2001,2,44.46
2001,3,52.23
2001,4,65.41
2001,5,76.1
2001,6,81.99
2001,7,87.06
2001,8,87.4
2001,9,78.82
2001,10,67.5
2001,11,59.0
2001,12,46.15
2002,1,45.07
2002,2,48.54
2002,3,51.71
2002,4,65.93
2002,5,72.45
2002,6,83.95
2002,7,88.75
2002,8,85.91
2002,9,79.59
2002,10,62.56
2002,11,52.72
2002,12,44.87
2003,1,43.38
2003,2,43.12
2003,3,54.97
2003,4,64.26
2003,5,73.18
2003,6,80.49
2003,7,88.66
2003,8,87.39
2003,9,77.85
2003,10,69.69
2003,11,52.7
2003,12,45.45
2004,1,40.44
2004,2,43.75
2004,3,59.25
2004,4,65.35
2004,5,74.35
2004,6,80.37
2004,7,85.23
2004,8,82.49
2004,9,78.24
2004,10,66.34
2004,11,53.82
2004,12,45.5
2005,1,42.87
2005,2,48.15
2005,3,53.89
2005,4,65.14
2005,5,71.98
2005,6,81.45
2005,7,88.47
2005,8,85.93
2005,9,80.8
2005,10,67.42
2005,11,56.82
2005,12,42.76
2006,1,49.62
2006,2,46.69
2006,3,53.71
2006,4,68.43
2006,5,75.45
2006,6,84.07
2006,7,89.55
2006,8,86.09
2006,9,75.83
2006,10,64.65
2006,11,55.51
2006,12,47.1
2007,1,41.38
2007,2,42.89
2007,3,60.01
2007,4,62.82
2007,5,75.33
2007,6,82.9
2007,7,87.4
2007,8,87.44
2007,9,79.38
2007,10,68.97
2007,11,55.9
2007,12,42.98
2008,1,40.77
2008,2,46.02
2008,3,54.07
2008,4,63.45
2008,5,72.1
2008,6,82.6
2008,7,87.03
2008,8,84.9
2008,9,77.95
2008,10,66.79
2008,11,54.91
2008,12,42.58
2009,1,42.31
2009,2,48.49
2009,3,54.84
2009,4,63.39
2009,5,74.14
2009,6,80.55
2009,7,85.3
2009,8,84.56
2009,9,78.89
2009,10,60.87
2009,11,57.52
2009,12,38.98
2010,1,40.03
2010,2,41.16
2010,3,55.09
2010,4,66.13
2010,5,72.0
2010,6,82.54
2010,7,86.97
2010,8,86.79
2010,9,79.75
